Platform,Time,PhysicalCores,LogicalProcessors,Threads,NumConstrs,NumVars,NumNZs,Fingerprint,PresolvedNumConVars,PresolvedNumIntVars,PresolvedNumBinVars,MinCoeff,MaxCoeff,MinObjCoeff,MaxObjCoeff,MinBound,MaxBound,MinRHS,MaxRHS,PresolveTime,PresolvedNumConstrs,PresolvedNumVars,PresolvedNumNZs,RelaxObj,RelaxIterCount,RelaxTime,PreTreeSolutions,NodeCount,IterCount,Runtime,Work,ObjVal,ObjBound,MIPGap,Cuts: Gomory,Cuts: Cover,Cuts: Implied bound,Cuts: Projected implied bound,Cuts: Clique,Cuts: MIR,Cuts: StrongCG,Cuts: Flow cover,Cuts: GUB cover,Cuts: Inf proof,Cuts: RLT,Cuts: Relax-and-lift,Cuts: BQP,Cores,SolCount,Status,ModelType,ChangedParams,LogFilePath,LogNumber,Cuts: Learned,Cuts: Zero half,Cuts: Mod-K,Cuts: Network,Cuts: Lift-and-project,OrderingTime,BarIterCount,PushPhasePInf,PushPhaseDInf,PushPhaseEndTime,Cuts: PSD,Cuts: Mixing,Cuts: Knapsack,LogFile (Parameter),Threads (Parameter),Seed,Version,Group,TotalCuts,TotalInequalities,MIPGapPct
linux64,2026-06-19 20:48:30,8,8,4,125287,74985,507015,0xf93a4e8f,0,74865,64320,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,3.92,85837,74865,380010,191.3,50246,56.12,0,24231,5216862,7200.11,8576.36,221.4,191.3,0.135953,1.0,1994.0,4.0,7.0,555.0,18.0,3.0,130.0,14.0,5.0,5.0,41.0,98.0,8,5,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_cota_global/logs/C1-25/C101-25.xml_log.log,1,,,,,,,,,,,,,,"""src/Resultados/Restriccion cota global/logs/C101-25.xml_log.log""",4,0,13.0.2,C1-25,2875.0,128162.0,13.595299999999998
linux64,2026-06-20 00:49:14,8,8,4,146487,88365,605115,0xb7379fc2,345,87900,77670,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,2.88,99927,88245,454320,172.1,70663,58.94,0,17016,6318149,7200.1,8163.99,190.3,181.6,0.045717,17.0,596.0,32.0,214.0,10.0,63.0,4.0,1009.0,53.0,,39.0,108.0,,8,6,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_cota_global/logs/C1-25/C102-25.xml_log.log,1,1.0,8.0,,,,,,,,,,,,"""src/Resultados/Restriccion cota global/logs/C102-25.xml_log.log""",4,0,13.0.2,C1-25,2154.0,148641.0,4.5717
linux64,2026-06-20 04:50:01,8,8,4,149084,90870,629745,0xc59661c3,360,90390,80175,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,3.13,102464,90750,481110,162.6,41549,22.32,0,4399,3142294,7200.09,7184.15,,175.2,,8.0,100.0,38.0,142.0,27.0,41.0,4.0,707.0,119.0,,41.0,279.0,,8,0,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_cota_global/logs/C1-25/C103-25.xml_log.log,1,,26.0,,,,,,,,,,,,"""src/Resultados/Restriccion cota global/logs/C103-25.xml_log.log""",4,0,13.0.2,C1-25,1532.0,150616.0,
linux64,2026-06-20 08:50:58,8,8,4,149984,91770,638745,0x7da80551,360,91290,81075,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,3.15,103394,91650,490170,159.0,60040,38.09,0,6923,3891628,7200.01,7086.42,,169.2,,13.0,97.0,36.0,55.0,18.0,85.0,5.0,203.0,108.0,,35.0,77.0,,8,0,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_cota_global/logs/C1-25/C104-25.xml_log.log,1,4.0,22.0,1.0,,,,,,,,,,,"""src/Resultados/Restriccion cota global/logs/C104-25.xml_log.log""",4,0,13.0.2,C1-25,759.0,150743.0,
linux64,2026-06-20 12:51:41,8,8,4,128583,77085,522555,0x0a3d58f0,345,76620,66420,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,2.74,87963,76965,394005,191.2,52634,42.28,0,28263,6675707,4776.16,5559.65,204.2,204.2,0.0,9.0,19.0,22.0,3.0,211.0,23.0,5.0,45.0,26.0,,31.0,11.0,3.0,8,4,OPTIMAL,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_cota_global/logs/C1-25/C105-25.xml_log.log,1,1.0,3.0,,1.0,,,,,,,,,,"""src/Resultados/Restriccion cota global/logs/C105-25.xml_log.log""",4,0,13.0.2,C1-25,413.0,128996.0,0.0
linux64,2026-06-20 16:12:12,8,8,4,127043,76005,513855,0xe3b920af,30,75855,65340,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,3.46,86873,75885,384450,191.3,49710,28.38,0,16652,5161180,7200.09,9654.95,221.4,191.3,0.135953,2.0,1662.0,12.0,2.0,161.0,136.0,134.0,173.0,12.0,,5.0,148.0,,8,4,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_cota_global/logs/C1-25/C106-25.xml_log.log,1,,2.0,,,,,,,,,,,,"""src/Resultados/Restriccion cota global/logs/C106-25.xml_log.log""",4,0,13.0.2,C1-25,2449.0,129492.0,13.595299999999998
linux64,2026-06-20 20:12:54,8,8,4,133152,79860,542115,0x3a0f49e7,375,79365,69165,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,2.38,91227,79740,409320,191.2,53529,39.64,0,1,190061,221.99,169.22,191.3,191.3,0.0,2.0,243.0,513.0,,134.0,226.0,8.0,12.0,4.0,,57.0,246.0,1.0,8,6,OPTIMAL,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_cota_global/logs/C1-25/C107-25.xml_log.log,1,,2.0,,,1.0,,,,,,,,,"""src/Resultados/Restriccion cota global/logs/C107-25.xml_log.log""",4,0,13.0.2,C1-25,1449.0,134601.0,0.0
linux64,2026-06-20 21:09:14,8,8,4,135745,81855,559335,0x7af6d0fe,375,81360,71160,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,2.64,93235,81735,424590,129.9,72337,47.93,0,20851,5601559,7200.38,9996.82,191.3,137.8,0.279665,,21.0,80.0,,10.0,35.0,,,7.0,,108.0,5.0,,8,8,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_cota_global/logs/C1-25/C108-25.xml_log.log,1,,,,,,,,,,,,,,"""src/Resultados/Restriccion cota global/logs/C108-25.xml_log.log""",4,0,13.0.2,C1-25,266.0,136011.0,27.9665
linux64,2026-06-21 01:10:04,8,8,4,145167,87735,601965,0xef003057,375,87240,77040,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,4.08,99192,87615,455655,129.9,53652,30.56,0,20944,5648453,7200.03,10433.4,191.3,131.2,0.314166,,3.0,40.0,,,22.0,,,3.0,,59.0,5.0,,8,8,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_cota_global/logs/C1-25/C109-25.xml_log.log,1,,1.0,,,,,,,,,,,,"""src/Resultados/Restriccion cota global/logs/C109-25.xml_log.log""",4,0,13.0.2,C1-25,133.0,145300.0,31.4166
linux64,2026-06-19 22:48:56,8,8,4,292073,177240,1233345,0xefe5f6db,0,177045,155910,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,7.29,200078,177045,934590,361.2,99921,43.85,0,5572,2891976,7200.23,6652.77,423.8,361.3,0.147475,1.0,,2.0,,71.0,1.0,,,,,5.0,1.0,,8,6,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_cota_global/logs/C1-50/C101-50.xml_log.log,1,,,,,,4.09,14.0,0.0,5.2249871e-15,54.0,,,,"""src/Resultados/Restriccion cota global/logs/C101-50.xml_log.log""",4,0,13.0.2,C1-50,81.0,292154.0,14.747499999999999
