Group,num_instancias,num_optimas,num_factibles,ObjVal_promedio,ObjBound_promedio,MIPGapPct_promedio,Runtime_promedio,NodeCount_promedio,NumConstrs_promedio,TotalCuts_promedio,TotalInequalities_promedio
C1-25,9,2,7,201.6,174.7888888888889,13.020771428571427,6155.44,15475.555555555555,137836.88888888888,1336.6666666666667,139173.55555555556
C1-50,9,1,4,409.025,321.68888888888887,11.097425,6747.2844444444445,4352.444444444444,303005.55555555556,2701.5555555555557,305707.1111111111
C2-25,8,0,3,310.40000000000003,212.85,29.182366666666667,7200.89125,1379.0,371024.375,829.375,371853.75
C2-50,8,0,1,524.3,348.975,27.942,7200.22,1767.0,396615.25,3772.125,400387.375
R1-25,12,0,6,540.8833333333333,419.3583333334166,17.391,7200.980833333334,5654.25,110784.5,892.0833333333334,111676.58333333333
R1-50,12,0,0,,640.2666666666667,,7201.301666666666,1500.5833333333333,238348.0,3072.8333333333335,241420.83333333334
R2-25,11,0,7,469.04285714285714,378.6909090909363,17.370185714285714,7201.274545454546,4459.090909090909,128091.72727272728,848.7272727272727,128940.45454545454
R2-50,11,0,0,,549.8727272727273,,7202.7927272727275,3934.818181818182,272518.7272727273,1832.090909090909,274350.8181818182
RC1-25,8,0,3,450.73333333333335,323.7375000005125,20.442033333333335,7201.21125,16954.25,97605.875,989.5,98595.375
RC1-50,8,0,0,,556.425,,7200.21,3868.125,143143.75,1105.375,144249.125
RC2-25,8,0,6,400.7,305.675,21.437300000000004,7200.68875,7942.5,113689.125,600.75,114289.875
RC2-50,8,0,0,,525.6,,7200.41125,4292.0,236735.625,1455.75,238191.375
