Platform,Time,PhysicalCores,LogicalProcessors,Threads,NumConstrs,NumVars,NumNZs,Fingerprint,PresolvedNumConVars,PresolvedNumIntVars,PresolvedNumBinVars,MinCoeff,MaxCoeff,MinObjCoeff,MaxObjCoeff,MinBound,MaxBound,MinRHS,MaxRHS,PresolveTime,PresolvedNumConstrs,PresolvedNumVars,PresolvedNumNZs,RelaxObj,RelaxIterCount,RelaxTime,PreTreeSolutions,NodeCount,IterCount,Runtime,Work,ObjVal,ObjBound,MIPGap,Cuts: Learned,Cuts: Cover,Cuts: Implied bound,Cuts: Clique,Cuts: MIR,Cuts: StrongCG,Cuts: Flow cover,Cuts: GUB cover,Cuts: Zero half,Cuts: Network,Cuts: RLT,Cuts: Relax-and-lift,Cuts: BQP,Cuts: PSD,Cores,SolCount,Status,ModelType,ChangedParams,LogFilePath,LogNumber,Cuts: Gomory,Cuts: Projected implied bound,Cuts: Mod-K,Cuts: Inf proof,OrderingTime,BarIterCount,PushPhasePInf,PushPhaseDInf,PushPhaseEndTime,Cuts: Lift-and-project,Cuts: Knapsack,Cuts: Mixing,LogFile (Parameter),Threads (Parameter),Seed,Version,Group,TotalCuts,TotalInequalities,MIPGapPct
linux64,2026-06-29 08:42:59,8,8,4,125410,74985,881265,0xb5da8a0e,0,74865,64320,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,3.35,85837,74865,380010,191.3,47370,36.98,0,13245,6123189,7200.12,9091.98,221.4,191.3,0.135953,1.0,2106.0,15.0,854.0,32.0,7.0,249.0,48.0,2.0,2.0,3.0,1916.0,41.0,31.0,8,9,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_demanda/logs/C1-25/C101-25.xml_log.log,1,,,,,,,,,,,,,"""src/Resultados/Restriccion demanda/logs/C101-25.xml_log.log""",4,0,13.0.2,C1-25,5307.0,130717.0,13.595299999999998
linux64,2026-06-29 12:44:00,8,8,4,146610,88365,1138365,0x7dc2f129,345,87900,77670,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,4.97,99927,88245,454320,172.1,45114,39.58,0,16429,7104580,7200.14,9881.85,190.3,178.2,0.063584,,8.0,53.0,,32.0,,1.0,,,,80.0,14.0,,,8,8,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_demanda/logs/C1-25/C102-25.xml_log.log,1,1.0,,,,,,,,,,,,"""src/Resultados/Restriccion demanda/logs/C102-25.xml_log.log""",4,0,13.0.2,C1-25,189.0,146799.0,6.3584000000000005
linux64,2026-06-29 16:44:55,8,8,4,149207,90870,1282245,0xb3e8cd6c,360,90390,80175,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,6.34,102464,90750,481110,162.6,34868,17.12,0,4820,3818991,7200.06,6171.49,,175.9,,,141.0,34.0,14.0,30.0,3.0,1692.0,101.0,15.0,,43.0,447.0,,,8,0,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_demanda/logs/C1-25/C103-25.xml_log.log,1,6.0,15.0,3.0,,,,,,,,,,"""src/Resultados/Restriccion demanda/logs/C103-25.xml_log.log""",4,0,13.0.2,C1-25,2544.0,151751.0,
linux64,2026-06-29 20:46:30,8,8,4,150107,91770,1336245,0x2bd7f017,360,91290,81075,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,8.15,103394,91650,490170,159.0,55852,54.18,0,5394,3355904,7203.29,5392.73,255.2,169.7,0.335031,,167.0,47.0,52.0,37.0,11.0,1996.0,86.0,17.0,,35.0,276.0,,,8,10,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_demanda/logs/C1-25/C104-25.xml_log.log,1,13.0,866.0,,,,,,,,,,,"""src/Resultados/Restriccion demanda/logs/C104-25.xml_log.log""",4,0,13.0.2,C1-25,3603.0,153710.0,33.5031
linux64,2026-06-30 00:48:48,8,8,4,128706,77085,923805,0x1807b521,345,76620,66420,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,6.4,87963,76965,394005,191.2,44949,50.06,0,11469,6101550,2616.0,2609.11,204.2,204.2,0.0,3.0,10.0,6.0,32.0,22.0,8.0,156.0,11.0,1.0,1.0,16.0,5.0,,,8,6,OPTIMAL,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_demanda/logs/C1-25/C105-25.xml_log.log,1,4.0,1.0,,5.0,,,,,,,,,"""src/Resultados/Restriccion demanda/logs/C105-25.xml_log.log""",4,0,13.0.2,C1-25,281.0,128987.0,0.0
linux64,2026-06-30 03:34:12,8,8,4,127166,76005,891105,0xbbad3e58,30,75855,65340,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,9.26,86873,75885,384450,191.3,43828,34.87,0,19484,5675189,7200.92,7957.05,221.4,191.3,0.135953,,1725.0,12.0,449.0,35.0,9.0,163.0,73.0,,,6.0,26.0,,,8,10,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_demanda/logs/C1-25/C106-25.xml_log.log,1,5.0,2.0,,,,,,,,,,,"""src/Resultados/Restriccion demanda/logs/C106-25.xml_log.log""",4,0,13.0.2,C1-25,2505.0,129671.0,13.595299999999998
linux64,2026-06-30 07:36:23,8,8,4,133275,79860,965115,0xdd5fe7cb,375,79365,69165,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,6.43,91227,79740,409320,191.2,56299,96.56,0,1,102121,321.03,110.03,191.3,191.3,0.0,134.0,290.0,15.0,295.0,257.0,5.0,,,,,30.0,214.0,215.0,,8,6,OPTIMAL,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_demanda/logs/C1-25/C107-25.xml_log.log,1,3.0,,,,,,,,,,,,"""src/Resultados/Restriccion demanda/logs/C107-25.xml_log.log""",4,0,13.0.2,C1-25,1458.0,134733.0,0.0
linux64,2026-06-30 08:42:55,8,8,4,135868,81855,1043085,0x706e3587,375,81360,71160,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,5.19,93235,81735,424590,129.9,34924,59.74,0,2139,3213996,7214.38,4608.42,191.3,184.6,0.035024,,118.0,25.0,34.0,117.0,6.0,257.0,128.0,33.0,,101.0,24.0,,,8,1,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_demanda/logs/C1-25/C108-25.xml_log.log,1,2.0,19.0,4.0,,,,,,,,,,"""src/Resultados/Restriccion demanda/logs/C108-25.xml_log.log""",4,0,13.0.2,C1-25,868.0,136736.0,3.5023999999999997
linux64,2026-06-30 12:46:07,8,8,4,145290,87735,1148715,0x1425d037,375,87240,77040,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,10.02,99192,87615,455655,129.9,59170,60.26,0,20137,3931891,7200.46,9047.56,191.3,131.8,0.31103000000000003,,8.0,43.0,,25.0,,,2.0,,,75.0,6.0,,,8,10,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_demanda/logs/C1-25/C109-25.xml_log.log,1,3.0,,,,,,,,,,,,"""src/Resultados/Restriccion demanda/logs/C109-25.xml_log.log""",4,0,13.0.2,C1-25,162.0,145452.0,31.103
linux64,2026-06-29 10:43:38,8,8,4,292435,177240,3784845,0x039dce8f,0,177045,155910,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,14.36,200078,177045,934590,361.2,100136,60.36,0,5890,2796892,7200.21,6774.62,432.2,361.3,0.164044,,,1.0,8.0,,,,,,,,,,,8,7,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_demanda/logs/C1-50/C101-50.xml_log.log,1,,,,,5.53,14.0,0.0,2.4980018e-15,79.0,,,,"""src/Resultados/Restriccion demanda/logs/C101-50.xml_log.log""",4,0,13.0.2,C1-50,9.0,292444.0,16.4044
