Group,num_instancias,num_optimas,num_factibles,ObjVal_promedio,ObjBound_promedio,MIPGapPct_promedio,Runtime_promedio,NodeCount_promedio,NumConstrs_promedio,TotalCuts_promedio,TotalInequalities_promedio,
C1-25,9,2,8,208.3,179.811111111111,12.7071875,5928.48888888889,10346.4444444444,137959.888888889,1879.66666666667,139839.555555556,124
C1-50,9,1,3,396.433333333333,324.044444444445,8.28883333333333,6799.87555555556,2896.77777777778,303367.555555556,3701.22222222222,307068.777777778,363
C2-25,8,0,5,383.04,213.15,39.9558,7205.47375,1802.125,371074.375,5126.375,376200.75,51
C2-50,8,0,1,549.7,346.6625,31.2716,7208.55375,1606.75,396765.25,2758,399523.25,151
R1-25,12,0,4,525.075,423.558333333333,18.962475,7203.43833333333,4514,110859.5,1101,111960.5,76
R1-50,12,0,0,,639.633333333333,,7201.385,1498.66666666667,238648,3368.83333333333,242016.833333333,301
R2-25,11,0,8,463.1625,375.545454551045,17.185475,7202.52909090909,4829.27272727273,128141.727272727,1207.18181818182,129348.909090909,51
R2-50,11,0,0,,545.872727272727,,7202.16909090909,2628.54545454545,272618.727272727,3217.45454545455,275836.181818182,101
RC1-25,8,0,5,423.5,323.0125,22.60968,7201.72,14232.625,97730.875,1144,98874.875,126
RC1-50,8,0,0,,553.175041352588,,7210.53875,3260,143543.75,1760.25,145304,401
RC2-25,8,0,8,428.325,302.1,27.712075,7201.38875,12109,113739.125,647.25,114386.375,51
RC2-50,8,0,0,,520.25,,7200.665,3453,236835.625,1299.5,238135.125,101
