Platform,Time,PhysicalCores,LogicalProcessors,Threads,NumConstrs,NumVars,NumNZs,Fingerprint,PresolvedNumConVars,PresolvedNumIntVars,PresolvedNumBinVars,MinCoeff,MaxCoeff,MinObjCoeff,MaxObjCoeff,MinBound,MaxBound,MinRHS,MaxRHS,PresolveTime,PresolvedNumConstrs,PresolvedNumVars,PresolvedNumNZs,RelaxObj,RelaxIterCount,RelaxTime,PreTreeSolutions,NodeCount,IterCount,Runtime,Work,ObjVal,ObjBound,MIPGap,Cuts: Learned,Cuts: Gomory,Cuts: Cover,Cuts: Implied bound,Cuts: Projected implied bound,Cuts: Clique,Cuts: MIR,Cuts: StrongCG,Cuts: Flow cover,Cuts: GUB cover,Cuts: Zero half,Cuts: Network,Cuts: RLT,Cuts: Relax-and-lift,Cuts: BQP,Cores,SolCount,Status,ModelType,ChangedParams,LogFilePath,LogNumber,Cuts: Mod-K,Cuts: Lift-and-project,OrderingTime,BarIterCount,PushPhasePInf,PushPhaseDInf,PushPhaseEndTime,Cuts: PSD,Cuts: Knapsack,Cuts: Mixing,Cuts: Inf proof,LogFile (Parameter),Threads (Parameter),Seed,Version,Group,TotalCuts,TotalInequalities,MIPGapPct
linux64,2026-07-08 16:51:19,8,8,4,125318,74985,544470,0x69407984,0,74865,64320,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,3.47,85837,74865,380010,191.3,50246,54.3,0,12873,4116388,7201.6,8530.66,221.4,191.3,0.135953,174.0,5.0,1552.0,59.0,18.0,790.0,140.0,51.0,118.0,56.0,3.0,1.0,12.0,966.0,22.0,8,5,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_solo_cliques/logs/C1-25/C101-25.xml_log.log,1,,,,,,,,,,,,"""src/Resultados/Restriccion_solo_cliques/logs/C101-25.xml_log.log""",4,0,13.0.2,C1-25,3967.0,129285.0,13.595299999999998
linux64,2026-07-08 20:53:05,8,8,4,146487,88365,605115,0xb7379fc2,345,87900,77670,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,4.61,99927,88245,454320,172.1,70663,70.38,0,14980,5787660,7200.44,7303.63,190.3,181.6,0.045717,,17.0,592.0,32.0,213.0,10.0,60.0,4.0,970.0,53.0,8.0,,38.0,105.0,,8,6,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_solo_cliques/logs/C1-25/C102-25.xml_log.log,1,,,,,,,,,,,,"""src/Resultados/Restriccion_solo_cliques/logs/C102-25.xml_log.log""",4,0,13.0.2,C1-25,2102.0,148589.0,4.5717
linux64,2026-07-09 00:55:00,8,8,4,149084,90870,629745,0xc59661c3,360,90390,80175,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,5.96,102464,90750,481110,162.6,41549,35.69,0,4350,3000167,7200.15,6467.15,,175.2,,,8.0,100.0,38.0,142.0,27.0,41.0,4.0,707.0,119.0,26.0,,41.0,279.0,,8,0,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_solo_cliques/logs/C1-25/C103-25.xml_log.log,1,,,,,,,,,,,,"""src/Resultados/Restriccion_solo_cliques/logs/C103-25.xml_log.log""",4,0,13.0.2,C1-25,1532.0,150616.0,
linux64,2026-07-09 04:57:13,8,8,4,149984,91770,638745,0x7da80551,360,91290,81075,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,7.27,103394,91650,490170,159.0,60040,55.53,0,5409,3099929,7200.02,5926.11,,169.2,,4.0,13.0,97.0,36.0,55.0,18.0,85.0,5.0,203.0,108.0,22.0,,35.0,77.0,,8,0,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_solo_cliques/logs/C1-25/C104-25.xml_log.log,1,1.0,,,,,,,,,,,"""src/Resultados/Restriccion_solo_cliques/logs/C104-25.xml_log.log""",4,0,13.0.2,C1-25,759.0,150743.0,
linux64,2026-07-09 08:58:00,8,8,4,128583,77085,522555,0x0a3d58f0,345,76620,66420,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,2.53,87963,76965,394005,191.2,52634,51.45,0,28263,6675707,5445.45,5559.65,204.2,204.2,0.0,1.0,9.0,19.0,22.0,3.0,211.0,23.0,5.0,45.0,26.0,3.0,1.0,31.0,11.0,3.0,8,4,OPTIMAL,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_solo_cliques/logs/C1-25/C105-25.xml_log.log,1,,,,,,,,,,,,"""src/Resultados/Restriccion_solo_cliques/logs/C105-25.xml_log.log""",4,0,13.0.2,C1-25,413.0,128996.0,0.0
linux64,2026-07-09 12:30:09,8,8,4,127072,76005,551625,0x66eabcb7,30,75855,65340,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,4.47,86873,75885,384450,191.3,49710,37.63,0,9683,4424181,7200.72,8268.95,221.4,191.3,0.135953,2.0,5.0,1553.0,8.0,,644.0,97.0,13.0,266.0,38.0,27.0,,2.0,226.0,,8,10,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_solo_cliques/logs/C1-25/C106-25.xml_log.log,1,,,,,,,,,,,,"""src/Resultados/Restriccion_solo_cliques/logs/C106-25.xml_log.log""",4,0,13.0.2,C1-25,2881.0,129953.0,13.595299999999998
linux64,2026-07-09 16:32:07,8,8,4,133152,79860,542115,0x3a0f49e7,375,79365,69165,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,3.57,91227,79740,409320,191.2,53529,57.19,0,1,190061,305.37,169.22,191.3,191.3,0.0,,2.0,243.0,513.0,,134.0,226.0,8.0,12.0,4.0,2.0,,57.0,246.0,1.0,8,6,OPTIMAL,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_solo_cliques/logs/C1-25/C107-25.xml_log.log,1,,1.0,,,,,,,,,,"""src/Resultados/Restriccion_solo_cliques/logs/C107-25.xml_log.log""",4,0,13.0.2,C1-25,1449.0,134601.0,0.0
linux64,2026-07-09 17:40:27,8,8,4,135745,81855,559335,0x7af6d0fe,375,81360,71160,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,3.54,93235,81735,424590,129.9,72337,64.74,0,18422,5172651,7200.62,8224.99,191.3,137.7,0.280188,,,21.0,80.0,,10.0,35.0,,,7.0,,,108.0,5.0,,8,8,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_solo_cliques/logs/C1-25/C108-25.xml_log.log,1,,,,,,,,,,,,"""src/Resultados/Restriccion_solo_cliques/logs/C108-25.xml_log.log""",4,0,13.0.2,C1-25,266.0,136011.0,28.0188
linux64,2026-07-09 21:42:34,8,8,4,145167,87735,601965,0xef003057,375,87240,77040,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,6.69,99192,87615,455655,129.9,53652,47.97,0,20558,5623224,7200.64,8988.85,191.3,131.2,0.314166,,,3.0,40.0,,,22.0,,,3.0,1.0,,59.0,5.0,,8,8,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_solo_cliques/logs/C1-25/C109-25.xml_log.log,1,,,,,,,,,,,,"""src/Resultados/Restriccion_solo_cliques/logs/C109-25.xml_log.log""",4,0,13.0.2,C1-25,133.0,145300.0,31.4166
linux64,2026-07-08 18:52:19,8,8,4,292278,177240,2250450,0x9d9970df,0,177045,155910,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,16.89,200078,177045,934590,361.2,99921,60.67,0,5127,1732352,7201.24,4954.02,,361.3,,,,,,,,,,,,,,,,,8,0,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_solo_cliques/logs/C1-50/C101-50.xml_log.log,1,,,5.68,14.0,0.0,7.0984885e-15,85.0,,,,,"""src/Resultados/Restriccion_solo_cliques/logs/C101-50.xml_log.log""",4,0,13.0.2,C1-50,0.0,292278.0,
linux64,2026-07-08 22:54:14,8,8,4,306704,190305,2647260,0xf963cb10,690,189420,168975,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,17.39,213338,190110,1054710,302.5,96051,92.02,0,1253,1574271,7201.13,4529.33,,345.9,,,3.0,637.0,42.0,292.0,199.0,101.0,3.0,1035.0,143.0,8.0,,51.0,132.0,1.0,8,0,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_solo_cliques/logs/C1-50/C102-50.xml_log.log,1,,,9.03,15.0,0.0,9.0136232e-15,117.0,,,,,"""src/Resultados/Restriccion_solo_cliques/logs/C102-50.xml_log.log""",4,0,13.0.2,C1-50,2647.0,309351.0,
linux64,2026-07-09 02:56:08,8,8,4,316241,199725,2583030,0x29abf957,735,198795,178395,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,21.3,222852,199530,1151025,281.8,102317,160.86,0,3740,1467316,7200.15,4894.56,,281.8,,2.0,4.0,460.0,352.0,,489.0,140.0,453.0,149.0,9.0,1.0,,342.0,110.0,1.0,8,0,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_solo_cliques/logs/C1-50/C103-50.xml_log.log,1,,,22.86,14.0,0.0,3.350098e-14,189.0,,,,,"""src/Resultados/Restriccion_solo_cliques/logs/C103-50.xml_log.log""",4,0,13.0.2,C1-50,2512.0,318753.0,
linux64,2026-07-09 06:57:48,8,8,4,322137,205740,1511205,0x37572861,735,204810,184410,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,10.11,229047,205545,1211520,278.7,102144,196.97,0,5126,866515,7200.56,5593.76,,278.7,,,,,,,,,,,,,,,,,8,0,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_solo_cliques/logs/C1-50/C104-50.xml_log.log,1,,,13.64,15.0,0.0,5.495604e-14,194.0,,,,,"""src/Resultados/Restriccion_solo_cliques/logs/C104-50.xml_log.log""",4,0,13.0.2,C1-50,0.0,322137.0,
linux64,2026-07-09 10:29:21,8,8,4,294493,179595,1608510,0x1a7e327b,750,178650,158265,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,9.6,202433,179400,961440,359.7,100147,86.51,0,4381,1931106,7203.5,4408.21,382.4,362.4,0.052301,,19.0,52.0,25.0,394.0,91.0,32.0,59.0,527.0,13.0,,,24.0,81.0,40.0,8,5,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_solo_cliques/logs/C1-50/C105-50.xml_log.log,1,1.0,,6.28,13.0,0.0,6.3837824e-15,99.0,,,,,"""src/Resultados/Restriccion_solo_cliques/logs/C105-50.xml_log.log""",4,0,13.0.2,C1-50,1358.0,295851.0,5.2301
linux64,2026-07-09 14:31:12,8,8,4,293370,178350,2149515,0x5f0f7174,690,177465,157020,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,15.04,201188,178155,945390,359.8,98951,61.56,0,5299,743529,7200.33,4380.42,,359.8,,,1.0,368.0,140.0,,83.0,2363.0,34.0,1.0,,1.0,,146.0,6743.0,,8,0,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_solo_cliques/logs/C1-50/C106-50.xml_log.log,1,,,7.78,12.0,0.0,8.5209617e-15,81.0,,,,,"""src/Resultados/Restriccion_solo_cliques/logs/C106-50.xml_log.log""",4,0,13.0.2,C1-50,9880.0,303250.0,
linux64,2026-07-09 16:37:48,8,8,4,296453,181620,1277145,0x7d432982,750,180675,160290,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,10.5,204458,181425,981720,359.7,99160,72.12,0,1047,845330,3736.67,2347.58,362.4,362.4,0.0,,,,,,,,,,,,,,,,8,4,OPTIMAL,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_solo_cliques/logs/C1-50/C107-50.xml_log.log,1,,,6.56,12.0,0.0,6.7307271e-15,86.0,,,,,"""src/Resultados/Restriccion_solo_cliques/logs/C107-50.xml_log.log""",4,0,13.0.2,C1-50,0.0,296453.0,0.0
linux64,2026-07-09 19:41:27,8,8,4,300473,185640,1317345,0x1792a502,750,184695,164310,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,8.5,208478,185445,1021935,258.5,100033,100.91,0,3381,1188660,7201.55,5252.15,,258.9,,5.0,4.0,193.0,805.0,,490.0,174.0,1.0,7.0,6.0,2.0,,385.0,501.0,,8,0,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_solo_cliques/logs/C1-50/C108-50.xml_log.log,1,,,9.21,14.0,0.0,5.9396932e-15,114.0,,,,,"""src/Resultados/Restriccion_solo_cliques/logs/C108-50.xml_log.log""",4,0,13.0.2,C1-50,2573.0,303046.0,
linux64,2026-07-09 23:43:43,8,8,4,305663,190830,1369245,0xac271156,750,189885,169500,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,12.63,213668,190635,1073805,254.7,100873,134.31,0,5211,1485102,7201.34,4426.48,,270.4,,,13.0,246.0,82.0,55.0,70.0,96.0,3.0,653.0,121.0,32.0,,89.0,63.0,,8,0,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_solo_cliques/logs/C1-50/C109-50.xml_log.log,1,,,12.58,12.0,0.0,3.8538617e-14,151.0,,,,,"""src/Resultados/Restriccion_solo_cliques/logs/C109-50.xml_log.log""",4,0,13.0.2,C1-50,1523.0,307186.0,
linux64,2026-07-10 01:45:16,8,8,4,355792,205320,1393890,0xe7a16e3a,300,204900,178500,1.0,100000.0,2.0,60.0,1.0,4000.0,1.0,100000.0,18.85,234519,205200,959625,232.3,132652,75.83,0,1149,1623353,7214.05,4944.35,301.6,232.3,0.22977499999999998,,,4500.0,563.0,,,2583.0,1.0,,,,,13.0,6088.0,,8,8,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_solo_cliques/logs/C2-25/C201-25.xml_log.log,1,,,1.54,19.0,0.0,1.8249291e-15,109.0,,,,,"""src/Resultados/Restriccion_solo_cliques/logs/C201-25.xml_log.log""",4,0,13.0.2,C2-25,13748.0,369540.0,22.9775
linux64,2026-07-10 05:49:13,8,8,4,374117,216975,1498770,0x9ad6c1d5,375,216480,190125,1.0,100000.0,2.0,60.0,1.0,4000.0,1.0,100000.0,12.23,246844,216855,1022760,211.4,138835,76.63,0,1065,1751842,7203.22,4208.25,299.2,219.4,0.266711,,10.0,22.0,23.0,380.0,1.0,35.0,5.0,421.0,33.0,52.0,,27.0,121.0,,8,9,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_solo_cliques/logs/C2-25/C202-25.xml_log.log,1,,,6.86,17.0,0.0,3.3445469e-15,95.0,,,,,"""src/Resultados/Restriccion_solo_cliques/logs/C202-25.xml_log.log""",4,0,13.0.2,C2-25,1130.0,375247.0,26.6711
linux64,2026-07-10 09:53:04,8,8,4,376581,219255,1538640,0x557b2b15,375,218760,192405,1.0,100000.0,2.0,60.0,1.0,4000.0,1.0,100000.0,17.62,249158,219135,1042095,206.1,139178,86.81,0,5557,1606616,7201.54,4684.0,327.7,207.5,0.36679900000000004,,1.0,,15.0,,,28.0,,,,,,51.0,9.0,,8,6,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_solo_cliques/logs/C2-25/C203-25.xml_log.log,1,,,6.46,15.0,0.0,1.047773e-14,113.0,,,,,"""src/Resultados/Restriccion_solo_cliques/logs/C203-25.xml_log.log""",4,0,13.0.2,C2-25,104.0,376685.0,36.6799
linux64,2026-07-10 13:57:37,8,8,4,377451,220125,1552875,0xd0e9bb02,375,219630,193275,1.0,100000.0,2.0,60.0,1.0,4000.0,1.0,100000.0,24.1,250073,220005,1050030,201.8,138464,117.87,0,1094,922546,7200.2,4404.34,,206.8,,,4.0,11.0,10.0,51.0,,8.0,17.0,100.0,4.0,,,17.0,117.0,,8,0,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_solo_cliques/logs/C2-25/C204-25.xml_log.log,1,,,13.37,14.0,0.0,7.7299278e-15,160.0,,,,,"""src/Resultados/Restriccion_solo_cliques/logs/C204-25.xml_log.log""",4,0,13.0.2,C2-25,339.0,377790.0,
linux64,2026-07-10 18:08:10,8,8,4,365142,210990,1440210,0xf3e72f6b,375,210495,184140,1.0,100000.0,2.0,60.0,1.0,4000.0,1.0,100000.0,15.85,240719,210870,988245,211.0,132748,96.77,0,4844,1064379,7207.19,3970.8,452.3,218.6,0.5166919999999999,,17.0,23.0,41.0,26.0,,25.0,,3808.0,6.0,2.0,,39.0,218.0,,8,1,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_solo_cliques/logs/C2-25/C205-25.xml_log.log,1,,,2.78,14.0,0.0,5.3013149e-15,121.0,,,,,"""src/Resultados/Restriccion_solo_cliques/logs/C205-25.xml_log.log""",4,0,13.0.2,C2-25,4205.0,369347.0,51.66919999999999
linux64,2026-07-10 22:14:06,8,8,4,372557,215415,1474890,0x221f98d5,375,214920,188565,1.0,100000.0,2.0,60.0,1.0,4000.0,1.0,100000.0,24.42,245224,215295,1008600,207.6,139466,124.25,0,1081,1627112,7203.91,3932.5,294.8,211.0000198715,0.28425999999999996,,4.0,52.0,130.0,,4.0,42.0,,67.0,16.0,,,70.0,60.0,,8,10,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_solo_cliques/logs/C2-25/C206-25.xml_log.log,1,,5.0,5.64,17.0,0.0,1.2628787e-15,164.0,,,,,"""src/Resultados/Restriccion_solo_cliques/logs/C206-25.xml_log.log""",4,0,13.0.2,C2-25,450.0,373007.0,28.425999999999995
