Group,num_instancias,num_optimas,num_factibles,ObjVal_promedio,ObjBound_promedio,MIPGapPct_promedio,Runtime_promedio,NodeCount_promedio,NumConstrs_promedio,TotalCuts_promedio,TotalInequalities_promedio,
C1-25,9,2,7,201.6,174.777777777778,13.0282428571429,6239.44555555556,12726.5555555556,137843.555555556,1500.22222222222,139343.777777778,7.67
C1-50,9,1,2,372.4,320.177777777778,2.61505,6816.27444444444,3840.55555555556,303090.222222222,2277,305367.222222222,85.67
C2-25,8,0,6,351.916666666667,214.500002483938,36.33635,7204.76125,2310.125,371052.375,4107.875,375160.25,29.00
C2-50,8,0,0,,349.1,,7253.575,1517.625,396729.25,3910,400639.25,115.00
R1-25,12,0,6,507.15,415.791666666667,21.6538,7201.355,6210.25,110870.333333333,739.833333333333,111610.166666667,86.83
R1-50,12,0,0,,633.6,,7201.9325,1383.58333333333,238622.833333333,5538.83333333333,244161.666666667,275.83
R2-25,11,0,8,469.4875,378.609090909091,17.7145125,7201.52727272727,4348.18181818182,128161.727272727,826.636363636364,128988.363636364,71.00
R2-50,11,0,0,,533.627272727273,,7204.72272727273,3285.36363636364,272718.727272727,2895.09090909091,275613.818181818,201.00
RC1-25,8,0,4,432.4,312.85,27.18655,7202.8775,15093,97638.25,698.25,98336.5,33.38
RC1-50,8,0,0,,549.05,,7200.84875,3336.875,143351.125,1527.875,144879,208.38
RC2-25,8,0,8,431,306.8625,26.0394,7200.86,4912.375,113718.125,699.375,114417.5,30.00
RC2-50,8,0,0,,523.3,,7200.38125,3824.875,236933.875,2035.25,238969.125,199.25
