Platform,Time,PhysicalCores,LogicalProcessors,Threads,NumConstrs,NumVars,NumNZs,Fingerprint,PresolvedNumConVars,PresolvedNumIntVars,PresolvedNumBinVars,MinCoeff,MaxCoeff,MinObjCoeff,MaxObjCoeff,MinBound,MaxBound,MinRHS,MaxRHS,PresolveTime,PresolvedNumConstrs,PresolvedNumVars,PresolvedNumNZs,RelaxObj,RelaxIterCount,RelaxTime,PreTreeSolutions,NodeCount,IterCount,Runtime,Work,ObjVal,ObjBound,MIPGap,Cuts: Cover,Cuts: Implied bound,Cuts: Clique,Cuts: MIR,Cuts: StrongCG,Cuts: Flow cover,Cuts: GUB cover,Cuts: Zero half,Cuts: RLT,Cuts: Relax-and-lift,Cores,SolCount,Status,ModelType,ChangedParams,LogFilePath,LogNumber,Cuts: Learned,Cuts: Gomory,Cuts: Projected implied bound,Cuts: Network,Cuts: BQP,Cuts: Inf proof,Cuts: Lift-and-project,OrderingTime,BarIterCount,PushPhasePInf,PushPhaseDInf,PushPhaseEndTime,Cuts: PSD,Cuts: Knapsack,Cuts: Mod-K,Cuts: Mixing,LogFile (Parameter),Threads (Parameter),Seed,Version,Group,TotalCuts,TotalInequalities,MIPGapPct
linux64,2026-06-29 19:55:47,8,8,4,125299,74985,515565,0x0ad1d5a1,0,74865,64320,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,3.43,85837,74865,380010,191.3,50246,56.37,0,8281,4663549,7200.57,8649.52,221.4,191.3,0.135953,2489.0,13.0,626.0,111.0,23.0,167.0,61.0,20.0,6.0,1245.0,8,10,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_todas_cliques/logs/C1-25/C101-25.xml_log.log,1,,,,,,,,,,,,,,,,,"""src/Resultados/Restriccion todas cliques/logs/C101-25.xml_log.log""",4,0,13.0.2,C1-25,4761.0,130060.0,13.595299999999998
linux64,2026-06-29 23:57:48,8,8,4,146496,88365,612915,0xa83a6777,345,87900,77670,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,5.2,99927,88245,454320,172.1,46481,53.57,0,9803,3530022,7201.35,6405.85,190.3,181.9,0.04414100000000001,152.0,45.0,75.0,127.0,18.0,610.0,74.0,18.0,46.0,165.0,8,7,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_todas_cliques/logs/C1-25/C102-25.xml_log.log,1,1.0,14.0,338.0,,,,,,,,,,,,,,"""src/Resultados/Restriccion todas cliques/logs/C102-25.xml_log.log""",4,0,13.0.2,C1-25,1683.0,148179.0,4.4141
linux64,2026-06-30 04:00:15,8,8,4,149086,90870,631470,0x970b0830,360,90390,80175,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,7.55,102464,90750,481110,162.6,59486,60.14,0,3837,3278263,7200.74,5456.05,229.1,175.4,0.234395,151.0,51.0,29.0,49.0,7.0,310.0,99.0,12.0,76.0,99.0,8,10,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_todas_cliques/logs/C1-25/C103-25.xml_log.log,1,,9.0,148.0,,,,,,,,,,,,,,"""src/Resultados/Restriccion todas cliques/logs/C103-25.xml_log.log""",4,0,13.0.2,C1-25,1040.0,150126.0,23.4395
linux64,2026-06-30 08:02:34,8,8,4,149985,91770,639585,0x03934339,360,91290,81075,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,9.11,103394,91650,490170,159.0,48425,49.65,0,2653,3660780,7201.28,5213.52,186.9,169.2,0.094703,129.0,77.0,44.0,158.0,15.0,711.0,132.0,36.0,38.0,119.0,8,10,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_todas_cliques/logs/C1-25/C104-25.xml_log.log,1,2.0,15.0,207.0,,,,,,,,,,,,,,"""src/Resultados/Restriccion todas cliques/logs/C104-25.xml_log.log""",4,0,13.0.2,C1-25,1683.0,151668.0,9.4703
linux64,2026-06-30 12:05:55,8,8,4,128585,77085,522825,0xe02cb30d,345,76620,66420,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,8.18,87963,76965,394005,191.2,52634,59.21,0,28263,6675707,5776.64,5559.65,204.2,204.2,0.0,19.0,22.0,211.0,23.0,5.0,45.0,26.0,3.0,31.0,11.0,8,4,OPTIMAL,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_todas_cliques/logs/C1-25/C105-25.xml_log.log,1,1.0,9.0,3.0,1.0,3.0,,,,,,,,,,,,"""src/Resultados/Restriccion todas cliques/logs/C105-25.xml_log.log""",4,0,13.0.2,C1-25,413.0,128998.0,0.0
linux64,2026-06-30 15:44:45,8,8,4,127052,76005,520560,0xecf265a0,30,75855,65340,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,3.7,86873,75885,384450,191.3,49710,44.93,0,12682,4848218,7200.87,7910.27,221.4,191.3,0.135953,2258.0,29.0,839.0,88.0,16.0,150.0,184.0,,10.0,99.0,8,3,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_todas_cliques/logs/C1-25/C106-25.xml_log.log,1,,,14.0,,46.0,2.0,,,,,,,,,,,"""src/Resultados/Restriccion todas cliques/logs/C106-25.xml_log.log""",4,0,13.0.2,C1-25,3735.0,130787.0,13.595299999999998
linux64,2026-06-30 19:47:44,8,8,4,133152,79860,542115,0x3a0f49e7,375,79365,69165,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,4.73,91227,79740,409320,191.2,53529,52.59,0,1,190061,293.35,169.22,191.3,191.3,0.0,243.0,513.0,134.0,226.0,8.0,12.0,4.0,2.0,57.0,246.0,8,6,OPTIMAL,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_todas_cliques/logs/C1-25/C107-25.xml_log.log,1,,2.0,,,1.0,,1.0,,,,,,,,,,"""src/Resultados/Restriccion todas cliques/logs/C107-25.xml_log.log""",4,0,13.0.2,C1-25,1449.0,134601.0,0.0
linux64,2026-06-30 21:30:32,8,8,4,135745,81855,559335,0x7af6d0fe,375,81360,71160,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,4.58,93235,81735,424590,129.9,72337,75.24,0,18370,5158167,7200.88,8104.47,191.3,137.7,0.280188,21.0,80.0,10.0,35.0,,,7.0,,108.0,5.0,8,8,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_todas_cliques/logs/C1-25/C108-25.xml_log.log,1,,,,,,,,,,,,,,,,,"""src/Resultados/Restriccion todas cliques/logs/C108-25.xml_log.log""",4,0,13.0.2,C1-25,266.0,136011.0,28.0188
linux64,2026-07-01 01:34:03,8,8,4,145167,87735,601965,0xef003057,375,87240,77040,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,9.0,99192,87615,455655,129.9,53652,65.35,0,16303,5041521,7201.04,8158.81,191.3,131.1,0.314689,2.0,39.0,,22.0,,,3.0,1.0,59.0,5.0,8,8,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_todas_cliques/logs/C1-25/C109-25.xml_log.log,1,,,,,,,,,,,,,,,,,"""src/Resultados/Restriccion todas cliques/logs/C109-25.xml_log.log""",4,0,13.0.2,C1-25,131.0,145298.0,31.468899999999998
linux64,2026-06-29 21:56:27,8,8,4,292212,177240,1415400,0x6d4de427,0,177045,155910,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,10.81,200078,177045,934590,361.2,99921,57.29,0,5267,1850789,7200.39,5101.44,,361.3,,,1.0,51.0,,,,,,4.0,1.0,8,0,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Restriccion_todas_cliques/logs/C1-50/C101-50.xml_log.log,1,,,,,,,,5.04,14.0,0.0,5.6447902e-15,71.0,,,,,"""src/Resultados/Restriccion todas cliques/logs/C101-50.xml_log.log""",4,0,13.0.2,C1-50,57.0,292269.0,
