Group,num_instancias,num_optimas,num_factibles,ObjVal_promedio,ObjBound_promedio,MIPGapPct_promedio,Runtime_promedio,NodeCount_promedio,NumConstrs_promedio,TotalCuts_promedio,TotalInequalities_promedio,
C1-25,9,2,9,203.022222222222,174.822222222222,13.7780222222222,6275.19111111111,11132.5555555556,137840.777777778,1684.55555555556,139525.333333333,4.89
C1-50,9,1,3,392.033333333333,321.266666666667,7.2371,7040.22111111111,2929.22222222222,303179.888888889,4726.44444444444,307906.333333333,175.33
C2-25,8,0,2,298.4,213.15,25.1028,7202.76,2551,371050.375,2811,373861.375,27.00
C2-50,8,0,0,,348.7,,7200.87375,781.25,397368.25,6789.75,404158,754.00
R1-25,12,0,5,507.36,420.35,16.3433,7205.60416666667,5411.83333333333,110856.833333333,912.583333333333,111769.416666667,73.33
R1-50,12,0,0,,630.566683382917,,7209.62416666667,1855.58333333333,239161.666666667,3804,242965.666666667,814.67
R2-25,11,0,8,467.8,378.545454545482,17.420925,7201.68363636364,4338.81818181818,128158.727272727,1426.45454545455,129585.181818182,68.00
R2-50,11,0,0,,546.554545454546,,7201.75545454545,2500.90909090909,273261.727272727,5500.18181818182,278761.909090909,744.00
RC1-25,8,0,4,479.4,324.2875,30.36165,7204.6725,14513.875,98150.875,789.25,98940.125,546.00
RC1-50,8,0,0,,542.2875,,7202.0875,2875.75,148551.5,1459.875,150011.375,5408.75
RC2-25,8,0,5,431.72,306.525,25.42832,7200.68,5803,114241.125,668.375,114909.5,553.00
RC2-50,8,0,0,,515.275,,7200.80375,82.375,241098.75,5365.625,246464.375,4364.13
