Platform,Time,PhysicalCores,LogicalProcessors,Threads,NumConstrs,NumVars,NumNZs,Fingerprint,PresolvedNumConVars,PresolvedNumIntVars,PresolvedNumBinVars,MinCoeff,MaxCoeff,MinObjCoeff,MaxObjCoeff,MinBound,MaxBound,MinRHS,MaxRHS,PresolveTime,PresolvedNumConstrs,PresolvedNumVars,PresolvedNumNZs,RelaxObj,RelaxIterCount,RelaxTime,PreTreeSolutions,NodeCount,IterCount,Runtime,Work,ObjVal,ObjBound,MIPGap,Cuts: Gomory,Cuts: Cover,Cuts: Implied bound,Cuts: Projected implied bound,Cuts: Clique,Cuts: MIR,Cuts: StrongCG,Cuts: Flow cover,Cuts: GUB cover,Cuts: Inf proof,Cuts: Zero half,Cuts: Relax-and-lift,Cores,SolCount,Status,ModelType,ChangedParams,LogFilePath,LogNumber,Cuts: Mod-K,Cuts: RLT,Cuts: BQP,Cuts: Learned,Cuts: Network,OrderingTime,BarIterCount,PushPhasePInf,PushPhaseDInf,PushPhaseEndTime,Cuts: Lift-and-project,Cuts: PSD,Cuts: Mixing,Cuts: Knapsack,LogFile (Parameter),Threads (Parameter),Seed,Version,Group,TotalCuts,TotalInequalities,MIPGapPct
linux64,2026-06-10 14:16:47,8,8,4,125286,74985,506370,0x7c433f1c,0,74865,64320,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,3.79,85836,74865,379380,191.3,49231,36.36,0,7645,5490076,7200.1,9962.19,221.4,191.3,0.135953,5.0,1956.0,19.0,2.0,637.0,584.0,4.0,128.0,22.0,1.0,5.0,118.0,8,10,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Sin_Restricciones/logs/C1-25/C101-25.xml_log.log,1,,,,,,,,,,,,,,,"""src/Resultados/Sin Restricciones/logs/C101-25.xml_log.log""",4,0,13.0.2,C1-25,3481.0,128767.0,13.595299999999998
linux64,2026-06-10 18:17:30,8,8,4,146486,88365,604470,0xb4fac418,345,87900,77670,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,3.15,99926,88245,453690,152.1,49195,43.38,0,10025,4418230,7200.4,7858.32,190.3,167.5,0.119811,23.0,171.0,43.0,118.0,33.0,101.0,10.0,698.0,51.0,2.0,30.0,112.0,8,3,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Sin_Restricciones/logs/C1-25/C102-25.xml_log.log,1,1.0,37.0,,,,,,,,,,,,,"""src/Resultados/Sin Restricciones/logs/C102-25.xml_log.log""",4,0,13.0.2,C1-25,1430.0,147916.0,11.9811
linux64,2026-06-10 22:18:19,8,8,4,149083,90870,629100,0x9a06e686,360,90390,80175,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,3.17,102463,90750,480465,124.3,66123,57.98,0,5440,2527336,7200.11,5912.49,190.3,162.0,0.14871299999999998,9.0,39.0,31.0,25.0,9.0,28.0,7.0,317.0,62.0,,5.0,31.0,8,7,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Sin_Restricciones/logs/C1-25/C103-25.xml_log.log,1,,26.0,,,,,,,,,,,,,"""src/Resultados/Sin Restricciones/logs/C103-25.xml_log.log""",4,0,13.0.2,C1-25,589.0,149672.0,14.871299999999998
linux64,2026-06-11 02:19:17,8,8,4,149983,91770,638100,0x34d051ce,360,91290,81075,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,3.18,103393,91650,489525,122.6,57592,45.26,0,5945,2719895,7200.08,6411.42,,155.6,,4.0,106.0,119.0,201.0,17.0,172.0,8.0,1843.0,92.0,,20.0,67.0,8,0,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Sin_Restricciones/logs/C1-25/C104-25.xml_log.log,1,,42.0,,,,,,,,,,,,,"""src/Resultados/Sin Restricciones/logs/C104-25.xml_log.log""",4,0,13.0.2,C1-25,2691.0,152674.0,
linux64,2026-06-11 06:20:05,8,8,4,128582,77085,521910,0xe2c92635,345,76620,66420,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,2.84,87962,76965,393360,183.6,61289,36.21,0,11318,6754909,3652.5,3883.95,204.2,204.2,0.0,6.0,27.0,31.0,3.0,188.0,9.0,2.0,55.0,3.0,,1.0,6.0,8,4,OPTIMAL,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Sin_Restricciones/logs/C1-25/C105-25.xml_log.log,1,,12.0,5.0,,,,,,,,,,,,"""src/Resultados/Sin Restricciones/logs/C105-25.xml_log.log""",4,0,13.0.2,C1-25,348.0,128930.0,0.0
linux64,2026-06-11 09:23:23,8,8,4,127042,76005,513210,0x4587131b,30,75855,65340,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,5.28,86872,75885,383820,191.3,55398,38.34,0,20239,5578327,7200.11,9020.82,221.4,191.3,0.135953,1.0,2720.0,22.0,1.0,577.0,516.0,51.0,351.0,41.0,,2.0,1284.0,8,5,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Sin_Restricciones/logs/C1-25/C106-25.xml_log.log,1,,10.0,88.0,302.0,3.0,,,,,,,,,,"""src/Resultados/Sin Restricciones/logs/C106-25.xml_log.log""",4,0,13.0.2,C1-25,5969.0,133011.0,13.595299999999998
linux64,2026-06-11 13:24:04,8,8,4,133151,79860,541470,0x01d13893,375,79365,69165,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,2.35,91226,79740,408675,174.3,61542,58.73,0,1215,344965,586.34,492.55,191.3,191.3,0.0,,,,,,,,,,,,,8,1,OPTIMAL,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Sin_Restricciones/logs/C1-25/C107-25.xml_log.log,1,,,,,,,,,,,,,,,"""src/Resultados/Sin Restricciones/logs/C107-25.xml_log.log""",4,0,13.0.2,C1-25,0.0,133151.0,0.0
linux64,2026-06-11 14:28:56,8,8,4,135744,81855,558690,0xb90c9818,375,81360,71160,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,3.14,93234,81735,423945,79.10426,49328,78.23,0,4944,2730429,7203.07,5408.79,191.3,169.3,0.115003,,159.0,31.0,267.0,18.0,168.0,6.0,1354.0,134.0,,43.0,192.0,8,8,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Sin_Restricciones/logs/C1-25/C108-25.xml_log.log,1,,106.0,1.0,1.0,,,,,,,,,,,"""src/Resultados/Sin Restricciones/logs/C108-25.xml_log.log""",4,0,13.0.2,C1-25,2480.0,138224.0,11.5003
linux64,2026-06-11 18:29:51,8,8,4,145166,87735,601320,0x38c0a57b,375,87240,77040,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,4.14,99191,87615,455010,79.06618,55338,87.69,0,14861,4271575,7200.04,10564.27,191.3,80.4,0.5797180000000001,,3.0,17.0,,2.0,14.0,,,3.0,,,5.0,8,4,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Sin_Restricciones/logs/C1-25/C109-25.xml_log.log,1,,42.0,,,,,,,,,,,,,"""src/Resultados/Sin Restricciones/logs/C109-25.xml_log.log""",4,0,13.0.2,C1-25,86.0,145252.0,57.97180000000001
linux64,2026-06-10 16:17:17,8,8,4,292072,177240,1231995,0xe6f09241,0,177105,155970,1.0,40000.0,1.0,60.0,1.0,2000.0,1.0,40000.0,7.67,200137,177105,918255,361.2,99621,67.86,0,5184,1698681,7200.05,6476.31,,361.2,,,4615.0,1278.0,,1274.0,1004.0,61.0,11.0,2.0,,,2453.0,8,0,TIME_LIMIT,MIP,{'Threads': 4},/home/cgonzalez/mE-VRSPTW/src/Resultados/Sin_Restricciones/logs/C1-50/C101-50.xml_log.log,1,,57.0,720.0,,,4.14,14.0,0.0,2.553513e-15,78.0,,,,,"""src/Resultados/Sin Restricciones/logs/C101-50.xml_log.log""",4,0,13.0.2,C1-50,11475.0,303547.0,
