Group,num_instancias,num_optimas,num_factibles,ObjVal_promedio,ObjBound_promedio,MIPGapPct_promedio,Runtime_promedio,NodeCount_promedio,NumConstrs_promedio,TotalCuts_promedio,TotalInequalities_promedio
C1-25,9,2,8,200.1875,168.10000000000002,15.4393875,6071.416666666667,9070.222222222223,137835.88888888888,1897.111111111111,139733.0
C1-50,9,1,3,392.2,296.23333333333335,7.185700000000001,6768.561111111111,3307.777777777778,303004.55555555556,6465.0,309469.55555555556
C2-25,8,0,4,292.75,178.8625,33.948825,7202.328750000001,3518.0,371023.375,1363.5,372386.875
C2-50,8,0,1,532.0,319.875,29.379699999999996,7200.81375,2066.25,396614.25,3724.125,400338.375
R1-25,12,0,5,481.4,411.39166666666665,16.85794,7201.538333333334,9200.25,110783.5,919.0833333333334,111702.58333333333
R1-50,12,0,0,,633.9083333333333,,7204.389999999999,1300.9166666666667,238347.0,3529.0,241876.0
R2-25,11,0,9,462.4222222222222,347.07272727272726,25.321933333333334,7201.577272727273,6831.181818181818,128090.72727272728,1704.4545454545455,129795.18181818182
R2-50,11,0,0,,542.6181818181818,,7200.8445454545445,3673.0,272517.7272727273,3496.818181818182,276014.54545454547
RC1-25,8,0,2,371.29999999999995,274.7125,30.9416,7206.915,12190.0,97604.875,752.375,98357.25
RC1-50,8,0,0,,510.6375,,7230.37375,1879.25,143142.75,1408.625,144551.375
RC2-25,8,0,8,422.012499703725,254.4375,38.805025,7206.03625,11149.875,113688.125,844.5,114532.625
RC2-50,8,0,0,,450.2375,,7200.78125,1715.25,236734.625,2179.375,238914.0
